date,ticker,pct_change,open_price,close_price,direction
2026-03-13,AAPL,-2.098,255.48,250.12,loss
2026-03-12,TSLA,-2.5088,405.175,395.01,loss
2026-03-11,AMZN,-1.4163,215.705,212.65,loss
2026-03-10,AAPL,1.2362,257.645,260.83,gain
2026-03-09,GOOGL,4.0766,294.36,306.36,gain
2026-03-06,AMZN,-0.8279,214.99,213.21,loss
